time,lat,lon,NDVI
2007-09-30,25.575,-80.775,0.5002
2007-10-31,25.575,-80.775,0.5334
2007-11-30,25.575,-80.775,0.4298
2007-12-31,25.575,-80.775,0.4631
2008-01-31,25.575,-80.775,0.4766
2008-02-29,25.575,-80.775,0.4718
2008-03-31,25.575,-80.775,0.5013
2008-04-30,25.575,-80.775,0.3782
2008-05-31,25.575,-80.775,0.4601
2008-06-30,25.575,-80.775,0.473
2008-07-31,25.575,-80.775,0.4668
2008-08-31,25.575,-80.775,0.488
2008-09-30,25.575,-80.775,0.4629
2008-10-31,25.575,-80.775,0.4654
2008-11-30,25.575,-80.775,0.4621
2008-12-31,25.575,-80.775,0.4513
2009-01-31,25.575,-80.775,0.4614
2009-02-28,25.575,-80.775,0.4426
2009-03-31,25.575,-80.775,0.4151
2009-04-30,25.575,-80.775,0.4747
2009-05-31,25.575,-80.775,0.5142
2009-06-30,25.575,-80.775,0.4783
2009-07-31,25.575,-80.775,0.4459
2009-08-31,25.575,-80.775,0.5577
2009-09-30,25.575,-80.775,0.4412
2009-10-31,25.575,-80.775,0.5058
2009-11-30,25.575,-80.775,0.4418
2009-12-31,25.575,-80.775,0.5327
2010-01-31,25.575,-80.775,0.5506
2010-02-28,25.575,-80.775,0.4927
2010-03-31,25.575,-80.775,0.4029
2010-04-30,25.575,-80.775,0.4801
2010-05-31,25.575,-80.775,0.442
2010-06-30,25.575,-80.775,0.4392
2010-07-31,25.575,-80.775,0.526
2010-08-31,25.575,-80.775,0.4572
2010-09-30,25.575,-80.775,0.5057
2010-10-31,25.575,-80.775,0.4557
2010-11-30,25.575,-80.775,0.491
2010-12-31,25.575,-80.775,0.4672
2011-01-31,25.575,-80.775,0.4528
2011-02-28,25.575,-80.775,0.4543
2011-03-31,25.575,-80.775,0.4388
2011-04-30,25.575,-80.775,0.4596
2011-05-31,25.575,-80.775,0.4775
2011-06-30,25.575,-80.775,0.462
2011-07-31,25.575,-80.775,0.4439
2011-08-31,25.575,-80.775,0.454
2011-09-30,25.575,-80.775,0.4664
2011-10-31,25.575,-80.775,0.4927
2011-11-30,25.575,-80.775,0.5035
2011-12-31,25.575,-80.775,0.4637
2012-01-31,25.575,-80.775,0.484
2012-02-29,25.575,-80.775,0.4777
2012-03-31,25.575,-80.775,0.506
2012-04-30,25.575,-80.775,0.4665
2012-05-31,25.575,-80.775,0.5194
2012-06-30,25.575,-80.775,0.4284
2012-07-31,25.575,-80.775,0.4918
2012-08-31,25.575,-80.775,0.4957
2012-09-30,25.575,-80.775,0.5315
2012-10-31,25.575,-80.775,0.5621
2012-11-30,25.575,-80.775,0.5183
2012-12-31,25.575,-80.775,0.4961
2013-01-31,25.575,-80.775,0.4709
2013-02-28,25.575,-80.775,0.4665
2013-03-31,25.575,-80.775,0.4156
2013-04-30,25.575,-80.775,0.5433
2013-05-31,25.575,-80.775,0.4871
2013-06-30,25.575,-80.775,0.5145
2013-07-31,25.575,-80.775,0.4898
2013-08-31,25.575,-80.775,0.5138
2013-09-30,25.575,-80.775,0.4292
2013-10-31,25.575,-80.775,0.4425
2013-11-30,25.575,-80.775,0.4222
2013-12-31,25.575,-80.775,0.4814
2014-01-31,25.575,-80.775,0.5285
2014-02-28,25.575,-80.775,0.4838
2014-03-31,25.575,-80.775,0.4932
2014-04-30,25.575,-80.775,0.4666
2014-05-31,25.575,-80.775,0.5069
2014-06-30,25.575,-80.775,0.4196
2014-07-31,25.575,-80.775,0.54
2014-08-31,25.575,-80.775,0.4821
2014-09-30,25.575,-80.775,0.4002
2014-10-31,25.575,-80.775,0.4702
2014-11-30,25.575,-80.775,0.4862
2014-12-31,25.575,-80.775,0.5188
2015-01-31,25.575,-80.775,0.4704
2015-02-28,25.575,-80.775,0.4572
2015-03-31,25.575,-80.775,0.4857
2015-04-30,25.575,-80.775,0.5104
2015-05-31,25.575,-80.775,0.4559
2015-06-30,25.575,-80.775,0.4685
2015-07-31,25.575,-80.775,0.4704
2015-08-31,25.575,-80.775,0.5236
2015-09-30,25.575,-80.775,0.5148
2015-10-31,25.575,-80.775,0.3811
2015-11-30,25.575,-80.775,0.4211
2015-12-31,25.575,-80.775,0.4572
2016-01-31,25.575,-80.775,0.4777
2016-02-29,25.575,-80.775,0.5099
2016-03-31,25.575,-80.775,0.4601
2016-04-30,25.575,-80.775,0.4237
2016-05-31,25.575,-80.775,0.4917
2016-06-30,25.575,-80.775,0.4526
2016-07-31,25.575,-80.775,0.4584
2016-08-31,25.575,-80.775,0.4377
2016-09-30,25.575,-80.775,0.4649
2016-10-31,25.575,-80.775,0.5022
2016-11-30,25.575,-80.775,0.4876
2016-12-31,25.575,-80.775,0.4239
2017-01-31,25.575,-80.775,0.4641
2017-02-28,25.575,-80.775,0.4387
2017-03-31,25.575,-80.775,0.4451
2017-04-30,25.575,-80.775,0.4841
2017-05-31,25.575,-80.775,0.4562
2017-06-30,25.575,-80.775,0.4688
2017-07-31,25.575,-80.775,0.4796
2017-08-31,25.575,-80.775,0.4976
2017-09-30,25.575,-80.775,0.4
2017-10-31,25.575,-80.775,0.481
2017-11-30,25.575,-80.775,0.4521
2017-12-31,25.575,-80.775,0.4931
2018-01-31,25.575,-80.775,0.4567
2018-02-28,25.575,-80.775,0.4963
2018-03-31,25.575,-80.775,0.4771
2018-04-30,25.575,-80.775,0.4459
2018-05-31,25.575,-80.775,0.5174
2018-06-30,25.575,-80.775,0.4686
2018-07-31,25.575,-80.775,0.5316
2018-08-31,25.575,-80.775,0.5164
2018-09-30,25.575,-80.775,0.4901
2018-10-31,25.575,-80.775,0.4795
2018-11-30,25.575,-80.775,0.4599
2018-12-31,25.575,-80.775,0.4426
2019-01-31,25.575,-80.775,0.477
2019-02-28,25.575,-80.775,0.4341
2019-03-31,25.575,-80.775,0.442
2019-04-30,25.575,-80.775,0.454
2019-05-31,25.575,-80.775,0.5473
2019-06-30,25.575,-80.775,0.4848
2019-07-31,25.575,-80.775,0.4
2019-08-31,25.575,-80.775,0.533
2019-09-30,25.575,-80.775,0.4684
2019-10-31,25.575,-80.775,0.5107
2019-11-30,25.575,-80.775,0.4497
2019-12-31,25.575,-80.775,0.5859
2020-01-31,25.575,-80.775,0.482
2020-02-29,25.575,-80.775,0.4048
2020-03-31,25.575,-80.775,0.5028
2020-04-30,25.575,-80.775,0.4689
2020-05-31,25.575,-80.775,0.558
2020-06-30,25.575,-80.775,0.4163
2020-07-31,25.575,-80.775,0.452
2020-08-31,25.575,-80.775,0.4129
2020-09-30,25.575,-80.775,0.4965
2020-10-31,25.575,-80.775,0.5297
2020-11-30,25.575,-80.775,0.4969
2020-12-31,25.575,-80.775,0.458
2021-01-31,25.575,-80.775,0.4706
2021-02-28,25.575,-80.775,0.5382
2021-03-31,25.575,-80.775,0.529
2021-04-30,25.575,-80.775,0.5321
2021-05-31,25.575,-80.775,0.4163
2021-06-30,25.575,-80.775,0.477
2021-07-31,25.575,-80.775,0.4611
2021-08-31,25.575,-80.775,0.4825
2021-09-30,25.575,-80.775,0.4128
2021-10-31,25.575,-80.775,0.425
2021-11-30,25.575,-80.775,0.5022
2021-12-31,25.575,-80.775,0.4567
2022-01-31,25.575,-80.775,0.4626
2022-02-28,25.575,-80.775,0.554
2022-03-31,25.575,-80.775,0.471
2022-04-30,25.575,-80.775,0.4503
2022-05-31,25.575,-80.775,0.4913
2022-06-30,25.575,-80.775,0.4281
2022-07-31,25.575,-80.775,0.4153
2022-08-31,25.575,-80.775,0.4506
2022-09-30,25.575,-80.775,0.4054
2022-10-31,25.575,-80.775,0.5467
2022-11-30,25.575,-80.775,0.438
2022-12-31,25.575,-80.775,0.4505
2023-01-31,25.575,-80.775,0.4406
2023-02-28,25.575,-80.775,0.4875
2023-03-31,25.575,-80.775,0.5119
2023-04-30,25.575,-80.775,0.547
2023-05-31,25.575,-80.775,0.5084
2023-06-30,25.575,-80.775,0.4581
2023-07-31,25.575,-80.775,0.4435
2023-08-31,25.575,-80.775,0.4701
2023-09-30,25.575,-80.775,0.5042
2023-10-31,25.575,-80.775,0.5523
2023-11-30,25.575,-80.775,0.4578
